,city,country,lat,lng,humidity,temp,max_temp,clouds,wind
0,georgetown,MY,5.4112,100.3354,88,75.97,77,20,5.61
2,cape town,ZA,-33.9258,18.4232,82,67.1,69.01,0,16.11
3,kapaa,US,22.0752,-159.319,69,78.35,78.8,20,18.41
4,nelson bay,AU,-32.7167,152.15,78,72.61,73.99,75,9.22
5,east london,ZA,-33.0153,27.9116,79,70.16,70.16,92,11.16
6,hermanus,ZA,-34.4187,19.2345,92,60.01,60.01,0,5.37
7,kalmunai,LK,7.4167,81.8167,85,77.04,77.04,100,13.87
8,vao,NC,-22.6667,167.4833,74,79.61,79.61,95,37.76
9,adilabad,IN,19.6667,78.5333,32,59.34,59.34,1,2.86
10,ilmajoki,FI,62.7333,22.5667,77,-5.8,-5.8,0,1.14
11,rikitea,PF,-23.1203,-134.9692,75,78.6,78.6,43,15.73
14,punta arenas,CL,-53.15,-70.9167,67,59,59,75,28.77
16,mount gambier,AU,-37.8333,140.7667,63,62.6,62.6,90,13.8
17,sungaipenuh,ID,-2.0833,101.3833,95,64.44,64.44,76,3
18,nuevo progreso,MX,23.1667,-97.95,51,68,68,44,4
19,ancud,CL,-41.8697,-73.8203,52,68,68,0,16.11
20,ushuaia,AR,-54.8,-68.3,71,55.4,55.4,75,26.46
21,derzhavinsk,KZ,51.1,66.3167,98,25.41,25.41,100,20.8
22,cabo san lucas,MX,22.8909,-109.9124,50,75.49,77,40,8.05
23,busselton,AU,-33.65,115.3333,80,66.99,66.99,52,3
24,tuktoyaktuk,CA,69.4541,-133.0374,74,-34.6,-34.6,1,3.44
25,codrington,AU,-38.2667,141.9667,64,63.25,63.25,55,10.92
26,puerto ayora,EC,-0.7393,-90.3518,70,84.2,84.2,0,17.27
27,emerald,AU,-23.5333,148.1667,54,83.25,84.2,96,8.05
28,nanortalik,GL,60.1432,-45.2371,85,15.94,15.94,0,18.95
29,upernavik,GL,72.7868,-56.1549,87,-6.74,-6.74,100,4.12
30,zinder,NE,13.8072,8.9881,17,69.35,69.35,0,12.66
31,touros,BR,-5.1989,-35.4608,78,78.8,78.8,20,8.05
32,roald,NO,62.5833,6.1333,80,22.15,24.8,0,10.36
33,qaanaaq,GL,77.484,-69.3632,84,-12.33,-12.33,100,0.83
34,avera,US,33.194,-82.5271,33,44.04,44.6,1,8.05
35,atuona,PF,-9.8,-139.0333,74,78.42,78.42,2,13.24
36,pirovskoye,RU,57.6267,92.2658,95,11.08,11.08,100,7.87
37,dongsheng,CN,39.8161,109.9776,71,13.89,13.89,18,16.75
38,pisco,PE,-13.7,-76.2167,68,72.79,73.4,0,17.27
39,mataura,NZ,-46.1927,168.8643,61,68.16,68.16,90,7.2
40,sabang,ID,5.8933,95.3214,78,81.9,81.9,35,18.23
41,hobart,AU,-42.8794,147.3294,63,60.67,62.01,75,3.44
42,kodiak,US,57.79,-152.4072,80,35.6,35.6,90,14.97
43,norman wells,CA,65.282,-126.8329,69,-18.4,-18.4,75,8.05
